Full Weapon Name,Weapon Augment,Weapon Base,Weapon Name,AmmoConfig,GeneralAmmoType,AmmoType,AmmoTypes,Size,Price,BaseWeaponPrice,AmmoTypePrice,Damage,Drop Range,Muzzle Velocity,Vertical Recoil,Rate of Fire,Cycle Time,Spread,Sway,Reload Speed,Loaded,Extra,Note
Martini-Henry Ironside FMJ,Ironside,Martini,,TwoBulletType,Long,FMJ,Long / FMJ,Large Slot,219,159,60,143,110,320,16,18,1.8,40,77,14.7,6,15,Damage dropoff begins at 50m
Martini-Henry Ironside High Velocity,Ironside,Martini,,TwoBulletType,Long,High Velocity,Long / High Velocity,Large Slot,229,159,70,136,140,500,16,18,1.8,40,77,14.7,6,10,
Martini-Henry Ironside Incendiary,Ironside,Martini,,TwoBulletType,Long,Incendiary,Long / Incendiary,Large Slot,229,159,70,143,125,400,12,18,1.8,40,77,14.7,6,15,Ignites Hunters in one shot up to 40m
Martini-Henry Marksman,Marksman,Martini,Martini Marksman,TwoBulletType,Long,Default,Long / Default,Large Slot,134,134,0,143,125,400,12,18,3.5,60,69,2.7,1,10,
Martini-Henry Marksman Explosive,Marksman,Martini,,TwoBulletType,Long,Explosive,Long / Explosive,Large Slot,184,134,50,138,95,300,12,18,3.5,60,69,2.7,1,10,
Martini-Henry Marksman FMJ,Marksman,Martini,,TwoBulletType,Long,FMJ,Long / FMJ,Large Slot,164,134,30,143,110,320,16,18,3.5,60,69,2.7,1,10,Damage dropoff begins at 50m
Martini-Henry Marksman High Velocity,Marksman,Martini,,TwoBulletType,Long,High Velocity,Long / High Velocity,Large Slot,169,134,35,136,140,500,16,18,3.5,60,69,2.7,1,7,
Martini-Henry Marksman Incendiary,Marksman,Martini,,TwoBulletType,Long,Incendiary,Long / Incendiary,Large Slot,169,134,35,143,125,400,12,18,3.5,60,69,2.7,1,10,Ignites Hunters in one shot up to 40m
Martini-Henry Riposte,Riposte,Martini,Martini Riposte,TwoBulletType,Long,Default,Long / Default,Large Slot,132,132,0,143,125,400,12,18,3.5,40,77,2.7,1,10,
Martini-Henry Riposte Explosive,Riposte,Martini,,TwoBulletType,Long,Explosive,Long / Explosive,Large Slot,182,132,50,138,95,300,12,18,3.5,40,77,2.7,1,10,
Martini-Henry Riposte FMJ,Riposte,Martini,,TwoBulletType,Long,FMJ,Long / FMJ,Large Slot,162,132,30,143,110,320,16,18,3.5,40,77,2.7,1,10,Damage dropoff begins at 50m
Martini-Henry Riposte High Velocity,Riposte,Martini,,TwoBulletType,Long,High Velocity,Long / High Velocity,Large Slot,167,132,35,136,140,500,16,18,3.5,40,77,2.7,1,7,
Martini-Henry Riposte Incendiary,Riposte,Martini,,TwoBulletType,Long,Incendiary,Long / Incendiary,Large Slot,167,132,35,143,125,400,12,18,3.5,40,77,2.7,1,10,Ignites Hunters in one shot up to 40m
Maynard Sniper,Base,Maynard,Maynard,TwoBulletType,Medium,Default,Medium / Default,Large Slot,139,139,0,144,160,560,8,11,5.8,25,69,5,1,13,
Maynard Sniper Dumdum,Base,Maynard,,TwoBulletType,Medium,Dumdum,Medium / Dumdum,Large Slot,139 + Scarce,139,-1,144,150,448,8,11,5.8,25,69,5,1,13,Causes Intense Bleeding
Maynard Sniper High Velocity,Base,Maynard,,TwoBulletType,Medium,High Velocity,Medium / High Velocity,Large Slot,199,139,60,137,170,660,12,11,5.8,25,69,5,1,9,
Maynard Sniper Silencer,Silencer,Maynard,Maynard Silencer,TwoBulletType,Medium,Default,Medium / Default,Large Slot,159,159,0,136,150,476,8,11,5.8,25,69,5,1,13,
Maynard Sniper Silencer Dumdum,Silencer,Maynard,,TwoBulletType,Medium,Dumdum,Medium / Dumdum,Large Slot,159 + Scarce,159,-1,136,140,380,8,11,5.8,25,69,5,1,13,Causes Intense Bleeding
Maynard Sniper Silencer High Velocity,Silencer,Maynard,,TwoBulletType,Medium,High Velocity,Medium / High Velocity,Large Slot,219,159,60,128,160,576,12,11,5.8,25,69,5,1,9,
Maynard Sniper Silencer Subsonic,Silencer,Maynard,,TwoBulletType,Medium,Subsonic,Medium / Subsonic,Large Slot,164,159,5,136,130,289,8,11,5.8,25,69,5,1,15,Reduced Sound
Maynard Sniper Subsonic,Base,Maynard,,TwoBulletType,Medium,Subsonic,Medium / Subsonic,Large Slot,144,139,5,144,130,319,8,11,5.8,25,69,5,1,15,Reduced Sound
Mosin Obrez,Base,MosinObrez,MosinObrez,SingleBulletType,Long,Default,Long / Default,Medium Slot,290,290,0,126,100,520,16,26,1.9,55,100,3.7,5,10,
Mosin Obrez Extended,Extended,MosinObrez,MosinObrez Extended,SingleBulletType,Long,Default,Long / Default,Medium Slot,350,350,0,126,100,520,19,29,1.9,55,100,8,15,10,
Mosin Obrez Extended Incendiary,Extended,MosinObrez,,SingleBulletType,Long,Incendiary,Long / Incendiary,Medium Slot,420,350,70,126,100,520,19,29,1.9,55,100,8,15,10,Ignites Hunters in one shot up to 40m
Mosin Obrez Extended Spitzer,Extended,MosinObrez,,SingleBulletType,Long,Spitzer,Long / Spitzer,Medium Slot,500,350,150,106,125,710,24,29,1.9,55,100,8,15,7,
Mosin Obrez Incendiary,Base,MosinObrez,,SingleBulletType,Long,Incendiary,Long / Incendiary,Medium Slot,360,290,70,126,100,520,16,26,1.9,55,100,3.7,5,10,Ignites Hunters in one shot up to 40m
Mosin Obrez Mace,Mace,MosinObrez,MosinObrez Mace,SingleBulletType,Long,Default,Long / Default,Medium Slot,300,300,0,126,100,520,19,26,1.9,55,100,3.7,5,10,
Mosin Obrez Mace Incendiary,Mace,MosinObrez,,SingleBulletType,Long,Incendiary,Long / Incendiary,Medium Slot,370,300,70,126,100,520,19,26,1.9,55,100,3.7,5,10,Ignites Hunters in one shot up to 40m
Mosin Obrez Mace Spitzer,Mace,MosinObrez,,SingleBulletType,Long,Spitzer,Long / Spitzer,Medium Slot,450,300,150,106,125,710,23,26,1.9,55,100,3.7,5,7,
Mosin Obrez Match,Match,MosinObrez,MosinObrez Match,SingleBulletType,Long,Default,Long / Default,Large Slot,345,345,0,130,105,540,14,26,1.9,47.5,77,3.7,5,10,
Mosin Obrez Match Incendiary,Match,MosinObrez,,SingleBulletType,Long,Incendiary,Long / Incendiary,Large Slot,415,345,70,130,105,540,14,26,1.9,47.5,77,3.7,5,10,Ignites Hunters in one shot up to 40m
Mosin Obrez Match Spitzer,Match,MosinObrez,,SingleBulletType,Long,Spitzer,Long / Spitzer,Large Slot,495,345,150,110,130,730,18,26,1.9,47.5,77,3.7,5,7,
Mosin Obrez Sharpeye,Sharpeye,MosinObrez,MosinObrez Sharpeye,SingleBulletType,Long,Default,Long / Default,Large Slot,362,362,0,130,105,540,14,26,1.9,57.5,87,3.7,5,10,
Mosin Obrez Sharpeye Incendiary,Sharpeye,MosinObrez,,SingleBulletType,Long,Incendiary,Long / Incendiary,Large Slot,432,362,70,130,105,540,14,26,1.9,57.5,87,3.7,5,10,Ignites Hunters in one shot up to 40m
Mosin Obrez Sharpeye Spitzer,Sharpeye,MosinObrez,,SingleBulletType,Long,Spitzer,Long / Spitzer,Large Slot,512,362,150,110,130,730,18,26,1.9,57.5,87,3.7,5,7,
Mosin Obrez Spitzer,Base,MosinObrez,,SingleBulletType,Long,Spitzer,Long / Spitzer,Medium Slot,440,290,150,106,120,710,21,26,1.9,55,100,3.7,5,7,
Mosin-Nagant,Base,Mosin,Mosin,SingleBulletType,Long,Default,Long / Default,Large Slot,620,620,0,136,135,615,10,26,1.9,35,77,3.7,5,10,
Mosin-Nagant Avtomat,Avtomat,Mosin,Mosin Avtomat,SingleBulletType,Long,Default,Long / Default,Large Slot,1250,1250,0,136,135,615,8,75,0.1,100,133,11.4,15,0,
Mosin-Nagant Avtomat Incendiary,Avtomat,Mosin,,SingleBulletType,Long,Incendiary,Long / Incendiary,Large Slot,1320,1250,70,136,135,615,8,75,0.1,100,133,11.4,15,0,Ignites Hunters in one shot up to 40m
Mosin-Nagant Avtomat Spitzer,Avtomat,Mosin,,SingleBulletType,Long,Spitzer,Long / Spitzer,Large Slot,1400,1250,150,117,160,820,9,75,0.1,100,133,11.4,15,0,
Mosin-Nagant Bayonet,Bayonet,Mosin,Mosin Bayonet,SingleBulletType,Long,Default,Long / Default,Large Slot,630,630,0,136,135,615,10,26,1.9,35,77,3.7,5,10,
Mosin-Nagant Bayonet Incendiary,Bayonet,Mosin,,SingleBulletType,Long,Incendiary,Long / Incendiary,Large Slot,700,630,70,136,135,615,10,26,1.9,35,77,3.7,5,10,Ignites Hunters in one shot up to 40m
Mosin-Nagant Bayonet Spitzer,Bayonet,Mosin,,SingleBulletType,Long,Spitzer,Long / Spitzer,Large Slot,780,630,150,117,160,820,15,26,1.9,35,77,3.7,5,7,
Mosin-Nagant Incendiary,Base,Mosin,,SingleBulletType,Long,Incendiary,Long / Incendiary,Large Slot,690,620,70,136,135,615,10,26,1.9,35,77,3.7,5,10,Ignites Hunters in one shot up to 40m
Mosin-Nagant Sniper,Sniper,Mosin,Mosin Sniper,SingleBulletType,Long,Default,Long / Default,Large Slot,713,713,0,136,135,615,10,24,1.9,70,69,5.3,5,10,
Mosin-Nagant Sniper Incendiary,Sniper,Mosin,,SingleBulletType,Long,Incendiary,Long / Incendiary,Large Slot,783,713,70,136,135,615,10,24,1.9,70,69,5.3,5,10,Ignites Hunters in one shot up to 40m
Mosin-Nagant Sniper Spitzer,Sniper,Mosin,,SingleBulletType,Long,Spitzer,Long / Spitzer,Large Slot,863,713,150,117,160,820,15,24,1.9,70,69,5.3,5,7,
Mosin-Nagant Spitzer,Base,Mosin,,SingleBulletType,Long,Spitzer,Long / Spitzer,Large Slot,770,620,150,117,160,820,15,26,1.9,35,77,3.7,5,7,
Nagant M1895,Base,Nagant,Nagant,SingleBulletType,Compact,Default,Compact / Default,Small Slot,24,24,0,91,70,330,4,21,1.5,40,128,12.5,7,21,
Nagant M1895 Deadeye,Deadeye,Nagant,Nagant Deadeye,SingleBulletType,Compact,Default,Compact / Default,Medium Slot,30,30,0,91,70,330,1.5,21,1.2,35,87,13.4,7,28,
Nagant M1895 Deadeye Dumdum,Deadeye,Nagant,,SingleBulletType,Compact,Dumdum,Compact / Dumdum,Medium Slot,80,30,50,91,65,300,1.5,21,1.2,35,87,13.4,7,28,Causes Medium Bleeding
Nagant M1895 Deadeye High Velocity,Deadeye,Nagant,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Medium Slot,90,30,60,87,80,405,3.3,21,1.2,35,87,13.4,7,21,
Nagant M1895 Deadeye Poison,Deadeye,Nagant,,SingleBulletType,Compact,Poison,Compact / Poison,Medium Slot,80,30,50,91,70,330,1.5,21,1.2,35,87,13.4,7,28,Causes Medium Poison
Nagant M1895 Deadeye Subsonic,Deadeye,Nagant,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Medium Slot,35,30,5,91,55,238,1.5,21,1.2,35,87,13.4,7,34,Reduced Sound
Nagant M1895 Dumdum,Base,Nagant,,SingleBulletType,Compact,Dumdum,Compact / Dumdum,Small Slot,74,24,50,91,65,300,4,21,1.5,40,128,12.5,7,21,Causes Medium Bleeding
Nagant M1895 High Velocity,Base,Nagant,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Small Slot,84,24,60,87,80,405,6,21,1.5,40,128,12.5,7,14,
Nagant M1895 Poison,Base,Nagant,,SingleBulletType,Compact,Poison,Compact / Poison,Small Slot,74,24,50,91,70,330,4,21,1.5,40,128,12.5,7,21,Causes Medium Poison
Nagant M1895 Precision,Precision,Nagant,Nagant Precision,SingleBulletType,Compact,Default,Compact / Default,Medium Slot,29,29,0,91,70,330,1.5,21,1,27.5,87,13.4,7,28,
Nagant M1895 Precision Dumdum,Precision,Nagant,,SingleBulletType,Compact,Dumdum,Compact / Dumdum,Medium Slot,79,29,50,91,65,300,1.5,21,1,27.5,87,13.4,7,28,Causes Medium Bleeding
Nagant M1895 Precision High Velocity,Precision,Nagant,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Medium Slot,89,29,60,87,80,405,3.3,21,1,27.5,87,13.4,7,21,
Nagant M1895 Precision Poison,Precision,Nagant,,SingleBulletType,Compact,Poison,Compact / Poison,Medium Slot,79,29,50,91,70,330,1.5,21,1,27.5,87,13.4,7,28,Causes Medium Poison
Nagant M1895 Precision Subsonic,Precision,Nagant,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Medium Slot,34,29,5,91,55,238,1.5,21,1,27.5,87,13.4,7,34,Reduced Sound
Nagant M1895 Silencer,Silencer,Nagant,Nagant Silencer,SingleBulletType,Compact,Default,Compact / Default,Small Slot,27,27,0,85,60,280,4,21,1.5,45,128,12.5,7,21,
Nagant M1895 Silencer Dumdum,Silencer,Nagant,,SingleBulletType,Compact,Dumdum,Compact / Dumdum,Small Slot,77,27,50,85,50,224,4,21,1.5,45,128,12.5,7,21,Causes Medium Bleeding
Nagant M1895 Silencer High Velocity,Silencer,Nagant,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Small Slot,87,27,60,81,70,355,6,21,1.5,45,128,12.5,7,14,
Nagant M1895 Silencer Poison,Silencer,Nagant,,SingleBulletType,Compact,Poison,Compact / Poison,Small Slot,77,27,50,85,60,280,4,21,1.5,45,128,12.5,7,21,Causes Medium Poison
Nagant M1895 Silencer Subsonic,Silencer,Nagant,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Small Slot,32,27,5,85,50,221,4,21,1.5,45,128,12.5,7,26,Reduced Sound
Nagant M1895 Subsonic,Base,Nagant,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Small Slot,29,24,5,91,55,238,4,21,1.5,40,128,12.5,7,14,Reduced Sound
New Army,Base,NewArmy,NewArmy,SingleBulletType,Compact,Default,Compact / Default,Small Slot,90,90,0,97,75,230,5,30,0.5,47.5,128,9.5,6,12,
New Army Dumdum,Base,NewArmy,,SingleBulletType,Compact,Dumdum,Compact / Dumdum,Small Slot,140,90,50,97,70,200,5,30,0.5,47.5,128,9.5,6,12,Causes Medium Bleeding
New Army FMJ,Base,NewArmy,,SingleBulletType,Compact,FMJ,Compact / FMJ,Small Slot,140,90,50,97,70,200,7,30,0.5,47.5,128,9.5,6,12,Damage dropoff begins at 30m
New Army Swift,Swift,NewArmy,NewArmy Swift,SingleBulletType,Compact,Default,Compact / Default,Small Slot,108,108,0,97,75,230,5,40,0.5,47.5,128,5.6,6,12,
New Army Swift Dumdum,Swift,NewArmy,,SingleBulletType,Compact,Dumdum,Compact / Dumdum,Small Slot,158,108,50,97,70,200,5,40,0.5,47.5,128,5.6,6,12,Causes Medium Bleeding
New Army Swift FMJ,Swift,NewArmy,,SingleBulletType,Compact,FMJ,Compact / FMJ,Small Slot,158,108,50,97,70,200,7,40,0.5,47.5,128,5.6,6,12,Damage dropoff begins at 30m
Nitro Express,Base,Nitro,Nitro,SingleSpecialType,Special,Default,Special / Default,Large Slot,1015,1015,0,364,45,550,40,21,0.7,62.5,77,4.8,2,4,
Nitro Express Explosive,Base,Nitro,,SingleSpecialType,Special,Explosive,Special / Explosive,Large Slot,1215,1015,200,163,20,410,40,21,0.7,62.5,77,4.8,2,4,
Nitro Express Shredder,Base,Nitro,,SingleSpecialType,Special,Shredder,Special / Shredder,Large Slot,1240,1015,225,364,40,495,40,21,0.7,62.5,77,4.8,2,4,Causes Intense Bleeding
Officer,Base,Officer,Officer,SingleBulletType,Compact,Default,Compact / Default,Small Slot,96,96,0,91,70,330,5,28,0.5,50,128,12.8,7,14,
Officer Brawler,Brawler,Officer,Officer Brawler,SingleBulletType,Compact,Default,Compact / Default,Small Slot,106,106,0,91,70,330,5,28,0.5,50,128,12.8,7,14,
Officer Brawler Dumdum,Brawler,Officer,,SingleBulletType,Compact,Dumdum,Compact / Dumdum,Small Slot,106 + Scarce,106,-1,91,65,300,5,28,0.5,50,128,12.8,7,14,Causes Medium Bleeding
Officer Brawler High Velocity,Brawler,Officer,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Small Slot,166,106,60,87,80,405,7.5,28,0.5,50,128,12.8,7,9,
Officer Brawler Poison,Brawler,Officer,,SingleBulletType,Compact,Poison,Compact / Poison,Small Slot,156,106,50,91,70,330,5,28,0.5,50,128,12.8,7,14,Causes Medium Poison
Officer Brawler Subsonic,Brawler,Officer,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Small Slot,111,106,5,91,55,238,5,28,0.5,50,128,12.8,7,16,Reduced Sound
Officer Carbine,Carbine,Officer,Officer Carbine,SingleBulletType,Compact,Default,Compact / Default,Large Slot,183,183,0,104,90,360,4,28,0.5,25,77,13.4,7,14,
Officer Carbine Deadeye,Carbine Deadeye,Officer,Officer Carbine Deadeye,SingleBulletType,Compact,Default,Compact / Default,Large Slot,192,192,0,104,90,360,4,28,0.5,40,69,13.4,7,14,
Officer Carbine Deadeye Dumdum,Carbine Deadeye,Officer,,SingleBulletType,Compact,Dumdum,Compact / Dumdum,Large Slot,192 + Scarce,192,-1,104,85,330,4,28,0.5,40,69,13.4,7,14,Causes Medium Bleeding
Officer Carbine Deadeye High Velocity,Carbine Deadeye,Officer,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Large Slot,252,192,60,98,100,460,7.5,28,0.5,40,69,13.4,7,9,
Officer Carbine Deadeye Poison,Carbine Deadeye,Officer,,SingleBulletType,Compact,Poison,Compact / Poison,Large Slot,242,192,50,104,90,360,4,28,0.5,40,69,13.4,7,14,Causes Medium Poison
Officer Carbine Deadeye Subsonic,Carbine Deadeye,Officer,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Large Slot,197,192,5,104,70,249,4,28,0.5,40,69,13.4,7,16,Reduced Sound
Officer Carbine Dumdum,Carbine,Officer,,SingleBulletType,Compact,Dumdum,Compact / Dumdum,Large Slot,183 + Scarce,183,-1,104,85,330,4,28,0.5,25,77,13.4,7,14,Causes Medium Bleeding
Officer Carbine High Velocity,Carbine,Officer,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Large Slot,243,183,60,98,100,460,6.5,28,0.5,25,77,13.4,7,9,
Officer Carbine Poison,Carbine,Officer,,SingleBulletType,Compact,Poison,Compact / Poison,Large Slot,233,183,50,104,90,360,4,28,0.5,25,77,13.4,7,14,Causes Medium Poison
Officer Carbine Subsonic,Carbine,Officer,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Large Slot,188,183,5,104,70,249,4,28,0.5,25,77,13.4,7,16,Reduced Sound
Officer Dumdum,Base,Officer,,SingleBulletType,Compact,Dumdum,Compact / Dumdum,Small Slot,96 + Scarce,96,-1,91,65,300,5,28,0.5,50,128,12.8,7,14,Causes Medium Bleeding
Officer High Velocity,Base,Officer,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Small Slot,156,96,60,87,80,405,7.5,28,0.5,50,128,12.8,7,9,
Officer Poison,Base,Officer,,SingleBulletType,Compact,Poison,Compact / Poison,Small Slot,146,96,50,91,70,330,5,28,0.5,50,128,12.8,7,14,Causes Medium Poison
Officer Subsonic,Base,Officer,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Small Slot,101,96,5,91,55,238,5,28,0.5,50,128,12.8,7,16,Reduced Sound
Pax,Base,Pax,Pax,SingleBulletType,Medium,Default,Medium / Default,Small Slot,80,80,0,110,65,330,10,22,1.4,32.5,128,11.2,6,12,
Pax Claw,Claw,Pax,Pax Claw,SingleBulletType,Medium,Default,Medium / Default,Small Slot,90,90,0,110,65,330,10,22,1.4,32.5,128,11.2,6,12,
Pax Claw Dumdum,Claw,Pax,,SingleBulletType,Medium,Dumdum,Medium / Dumdum,Small Slot,140,90,50,110,60,300,10,22,1.4,32.5,128,11.2,6,12,Causes Medium Bleeding
Pax Claw FMJ,Claw,Pax,,SingleBulletType,Medium,FMJ,Medium / FMJ,Small Slot,140,90,50,110,60,300,12,22,1.4,32.5,128,11.2,6,12,Damage dropoff begins at 40m
Pax Claw High Velocity,Claw,Pax,,SingleBulletType,Medium,High Velocity,Medium / High Velocity,Small Slot,150,90,60,104,70,405,12,22,1.4,32.5,128,11.2,6,8,
Pax Claw Incendiary,Claw,Pax,,SingleBulletType,Medium,Incendiary,Medium / Incendiary,Small Slot,130,90,40,110,65,330,10,22,1.4,32.5,128,11.2,6,12,Ignites Hunters in one shot up to 30m
Pax Claw Poison,Claw,Pax,,SingleBulletType,Medium,Poison,Medium / Poison,Small Slot,140,90,50,110,65,330,10,22,1.4,32.5,128,11.2,6,12,Causes Medium Poison
Pax Dumdum,Base,Pax,,SingleBulletType,Medium,Dumdum,Medium / Dumdum,Small Slot,130,80,50,110,60,300,10,22,1.4,32.5,128,11.2,6,12,Causes Medium Bleeding
Pax FMJ,Base,Pax,,SingleBulletType,Medium,FMJ,Medium / FMJ,Small Slot,130,80,50,110,60,300,12,22,1.4,32.5,128,11.2,6,12,Damage dropoff begins at 40m
Pax High Velocity,Base,Pax,,SingleBulletType,Medium,High Velocity,Medium / High Velocity,Small Slot,140,80,60,104,70,405,12,22,1.4,32.5,128,11.2,6,8,
Pax Incendiary,Base,Pax,,SingleBulletType,Medium,Incendiary,Medium / Incendiary,Small Slot,120,80,40,110,65,330,10,22,1.4,32.5,128,11.2,6,12,Ignites Hunters in one shot up to 30m
Pax Poison,Base,Pax,,SingleBulletType,Medium,Poison,Medium / Poison,Small Slot,130,80,50,110,65,330,10,22,1.4,32.5,128,11.2,6,12,Causes Medium Poison
Pax Trueshot,Trueshot,Pax,Pax Trueshot,SingleBulletType,Medium,Default,Medium / Default,Small Slot,141,141,0,114,80,410,16,18,1.6,27.5,128,11.2,6,12,
Pax Trueshot Dumdum,Trueshot,Pax,,SingleBulletType,Medium,Dumdum,Medium / Dumdum,Small Slot,191,141,50,114,70,405,16,18,1.6,27.5,128,11.2,6,12,Causes Medium Bleeding
Pax Trueshot FMJ,Trueshot,Pax,,SingleBulletType,Medium,FMJ,Medium / FMJ,Small Slot,191,141,50,114,65,405,18,18,1.6,27.5,128,11.2,6,12,Damage dropoff begins at 40m
Pax Trueshot High Velocity,Trueshot,Pax,,SingleBulletType,Medium,High Velocity,Medium / High Velocity,Small Slot,201,141,60,108,90,510,20,18,1.6,27.5,128,11.2,6,8,
Pax Trueshot Incendiary,Trueshot,Pax,,SingleBulletType,Medium,Incendiary,Medium / Incendiary,Small Slot,181,141,40,114,80,410,16,18,1.6,27.5,128,11.2,6,12,Ignites Hunters in one shot up to 30m
Pax Trueshot Poison,Trueshot,Pax,,SingleBulletType,Medium,Poison,Medium / Poison,Small Slot,191,141,50,114,80,410,16,18,1.6,27.5,128,11.2,6,12,Causes Medium Poison
Ranger 73,Base,Ranger,Ranger,SingleBulletType,Compact,Default,Compact / Default,Large Slot,75,75,0,110,140,400,4,31,1.2,17.5,77,16.4,16,20,
Ranger 73 Aperture,Aperture,Ranger,Ranger Aperture,SingleBulletType,Compact,Default,Compact / Default,Large Slot,79,79,0,110,140,400,4,31,1.2,17.5,69,16.4,16,20,
Ranger 73 Aperture FMJ,Aperture,Ranger,,SingleBulletType,Compact,FMJ,Compact / FMJ,Large Slot,129,79,50,110,125,330,6,31,1.2,17.5,69,16.4,16,20,Damage dropoff begins at 30m
Ranger 73 Aperture High Velocity,Aperture,Ranger,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Large Slot,139,79,60,104,160,500,6,31,1.2,17.5,69,16.4,16,13,
Ranger 73 Aperture Incendiary,Aperture,Ranger,,SingleBulletType,Compact,Incendiary,Compact / Incendiary,Large Slot,119,79,40,110,140,400,4,31,1.2,17.5,69,16.4,16,20,Ignites Hunters in one shot up to 20m
Ranger 73 Aperture Poison,Aperture,Ranger,,SingleBulletType,Compact,Poison,Compact / Poison,Large Slot,129,79,50,110,140,400,4,31,1.2,17.5,69,16.4,16,20,Causes Medium Poison
Ranger 73 Aperture Subsonic,Aperture,Ranger,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Large Slot,84,79,5,110,110,263,4,31,1.2,17.5,69,16.4,16,24,Reduced Sound
Ranger 73 FMJ,Base,Ranger,,SingleBulletType,Compact,FMJ,Compact / FMJ,Large Slot,125,75,50,110,125,330,6,31,1.2,17.5,77,16.4,16,20,Damage dropoff begins at 30m
Ranger 73 High Velocity,Base,Ranger,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Large Slot,135,75,60,104,160,500,6,31,1.2,17.5,77,16.4,16,13,
Ranger 73 Incendiary,Base,Ranger,,SingleBulletType,Compact,Incendiary,Compact / Incendiary,Large Slot,115,75,40,110,140,400,4,31,1.2,17.5,77,16.4,16,20,Ignites Hunters in one shot up to 20m
Ranger 73 Poison,Base,Ranger,,SingleBulletType,Compact,Poison,Compact / Poison,Large Slot,125,75,50,110,140,400,4,31,1.2,17.5,77,16.4,16,20,Causes Medium Poison
Ranger 73 Subsonic,Base,Ranger,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Large Slot,80,75,5,110,110,263,4,31,1.2,17.5,77,16.4,16,24,Reduced Sound
Ranger 73 Swift,Swift,Ranger,Ranger Swift,SingleBulletType,Compact,Default,Compact / Default,Large Slot,128,128,0,110,140,400,4,41,1.2,17.5,77,8.4,16,20,
Ranger 73 Swift FMJ,Swift,Ranger,,SingleBulletType,Compact,FMJ,Compact / FMJ,Large Slot,178,128,50,110,125,330,6,41,1.2,17.5,77,8.4,16,20,Damage dropoff begins at 30m
Ranger 73 Swift High Velocity,Swift,Ranger,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Large Slot,188,128,60,104,160,500,6,41,1.2,17.5,77,8.4,16,13,
Ranger 73 Swift Incendiary,Swift,Ranger,,SingleBulletType,Compact,Incendiary,Compact / Incendiary,Large Slot,168,128,40,110,140,400,4,41,1.2,17.5,77,8.4,16,20,Ignites Hunters in one shot up to 20m
Ranger 73 Swift Poison,Swift,Ranger,,SingleBulletType,Compact,Poison,Compact / Poison,Large Slot,178,128,50,110,140,400,4,41,1.2,17.5,77,8.4,16,20,Causes Medium Poison
Ranger 73 Swift Subsonic,Swift,Ranger,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Large Slot,133,128,5,110,110,263,4,41,1.2,17.5,77,8.4,16,24,Reduced Sound
Ranger 73 Talon,Talon,Ranger,Ranger Talon,SingleBulletType,Compact,Default,Compact / Default,Large Slot,85,85,0,110,140,400,4,31,1.2,17.5,77,16.4,16,20,
Ranger 73 Talon FMJ,Talon,Ranger,,SingleBulletType,Compact,FMJ,Compact / FMJ,Large Slot,135,85,50,110,125,330,6,31,1.2,17.5,77,16.4,16,20,Damage dropoff begins at 30m
Ranger 73 Talon High Velocity,Talon,Ranger,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Large Slot,145,85,60,104,160,500,6,31,1.2,17.5,77,16.4,16,13,
Ranger 73 Talon Incendiary,Talon,Ranger,,SingleBulletType,Compact,Incendiary,Compact / Incendiary,Large Slot,125,85,40,110,140,400,4,31,1.2,17.5,77,16.4,16,20,Ignites Hunters in one shot up to 20m
Ranger 73 Talon Poison,Talon,Ranger,,SingleBulletType,Compact,Poison,Compact / Poison,Large Slot,135,85,50,110,140,400,4,31,1.2,17.5,77,16.4,16,20,Causes Medium Poison
Ranger 73 Talon Subsonic,Talon,Ranger,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Large Slot,90,85,5,110,110,263,4,31,1.2,17.5,77,16.4,16,24,Reduced Sound
Rival 78,Base,Rival,Rival,SingleShellType,Shells,Default,Shells / Default,Large Slot,150,150,0,184,25,425,20,24,0.3,45,77,4.7,2,8,
Rival 78 Dragon Breath,Base,Rival,,SingleShellType,Shells,Dragon Breath,Shells / Dragon Breath,Large Slot,170,150,20,113,25,100,20,24,0.3,80,77,4.7,2,8,Causes Medium Burning
